Fusion Mobile (Nova),MCP-Manufacturing,1.00,0.67,1.00,0.56,0.69,0.75,0.60,0.33,1.00,0.73
FusionDM,MCP-Manufacturing,1.00,0.50,1.00,1.00,0.69,1.00,0.47,0.33,1.00,0.73
FusionSymphonyDM,MCP-Manufacturing,0.86,0.50,1.00,1.00,0.77,1.00,0.47,0.33,1.00,0.73
SketchBook.com,DCP-Automotive & Conceptual Design,0.14,0.67,0.75,1.00,0.92,0.50,0.87,0.33,0.83,0.73
CLS,DPE-SPG,0.86,1.00,1.00,0.78,0.69,1.00,0.09,0.67,1.00,0.71
SPOC-PayPort,DPE-SPG,0.71,0.83,0.75,1.00,0.92,1.00,0.00,1.00,0.67,0.71
BIC Reporting,DPE-DES,1.00,0.50,1.00,1.00,0.62,0.75,0.73,0.33,0.33,0.69
BIM 360 Glue,MCP-Construction,0.86,0.50,0.75,1.00,0.62,0.75,0.67,0.33,0.83,0.69
Cloud Solid Modeling,MCP-Cloud Platform,0.86,0.83,1.00,0.89,0.46,0.50,0.50,0.33,1.00,0.69
Fusion Landing Pages for China,MCP-Manufacturing,0.29,1.00,0.50,1.00,0.85,1.00,0.40,0.33,0.67,0.69
Fusion Supportal,MCP-Manufacturing,0.86,0.67,1.00,0.75,0.69,1.00,0.40,0.33,1.00,0.69
InfraWorks Model Builder,DCP-Building Infrastructure Design,0.71,0.50,0.75,0.78,0.38,0.75,1.00,0.33,1.00,0.69
Infraworks Traffic Simulation,DCP-Building Infrastructure Design,0.71,0.67,0.75,0.78,0.46,0.50,1.00,0.00,1.00,0.69
Shotgun,MCP-Production,0.86,1.00,0.75,0.78,0.77,1.00,0.50,0.00,0.33,0.69
Tempest,MCP-Production,0.29,0.83,0.25,0.75,0.62,1.00,0.93,0.67,0.67,0.69
Account Portal,DPE-SPG,0.86,0.67,0.50,1.00,0.54,1.00,0.45,0.67,0.67,0.68
ECS Vapor,DPE-DES,0.86,0.67,0.75,1.00,0.62,0.75,0.47,0.67,0.83,0.68
SPOC-Payport Agent,DPE-SPG,0.57,0.83,0.75,1.00,0.92,1.00,0.00,0.67,0.67,0.68
Active Directory (ADS),DPE-DES,0.86,0.33,1.00,1.00,0.69,0.00,0.73,0.33,0.67,0.66
BIM 360 Field,MCP-Construction,1.00,0.67,1.00,1.00,0.23,0.75,0.80,0.00,0.67,0.66
Forge - Existing Developer portal,MCP-Cloud Platform,0.43,1.00,0.50,0.75,0.38,1.00,0.80,0.67,0.67,0.66
Pan Service,MCP-Manufacturing,0.29,0.83,1.00,0.50,0.54,0.25,1.00,0.67,0.50,0.66
Revit Cloud Worksharing (Communicator),DCP-Building Infrastructure Design,1.00,0.33,0.50,0.75,0.23,0.75,0.93,0.33,1.00,0.66
AEM Checkout,DPE-DEC,1.00,1.00,0.75,1.00,0.62,1.00,0.12,0.67,0.67,0.65
Autodesk Data Platform (ADP),DPE-DAA,1.00,0.33,0.75,1.00,0.38,0.25,0.64,0.67,0.83,0.65
Constructware,MCP-Construction,0.86,0.50,1.00,1.00,0.23,0.25,1.00,0.00,0.67,0.65
InfraWorks Comment,DCP-Building Infrastructure Design,0.71,0.33,1.00,0.78,0.31,0.50,1.00,0.00,1.00,0.65
InfraWorks Optimization,DCP-Building Infrastructure Design,0.71,0.33,0.75,0.78,0.31,0.75,1.00,0.00,1.00,0.65
Salesforce,DPE-DAA,0.57,0.33,1.00,1.00,0.38,0.75,0.93,0.33,0.50,0.65
SketchBook API,DCP-Automotive & Conceptual Design,0.14,0.67,0.75,1.00,0.54,0.50,0.87,0.33,0.83,0.65
SPOC-Billing Manager,DPE-SPG,0.86,0.83,0.75,1.00,0.77,0.50,0.00,1.00,0.50,0.65
Testing Hub,DPE-DES,0.14,0.67,0.25,1.00,0.69,1.00,0.64,1.00,0.50,0.65
ADP Looker,DPE-DAA,1.00,0.50,0.75,0.75,0.77,0.25,0.33,1.00,0.67,0.63
